column_name,role,source_feature,dtype,imputation_used,missing_before,missing_after,note
ticker,metadata,ticker,object,none,0,0,other
event_date,metadata,event_date,object,none,0,0,other
drug_name,metadata,drug_name,object,none,0,7,other
nct_id,metadata,nct_id,object,none,0,45,other
target_large_move,target,target_large_move,int64,none,0,0,other
feat_asset_event_sequence_num,feature,feat_asset_event_sequence_num,int64,none,0,0,numeric
feat_asset_trial_share,feature,feat_asset_trial_share,float64,none,0,0,numeric
feat_cash_runway_proxy,feature,feat_cash_runway_proxy,float64,median=0.1718,3,0,numeric
feat_company_event_sequence_num,feature,feat_company_event_sequence_num,int64,none,0,0,numeric
feat_company_historical_hit_rate,feature,feat_company_historical_hit_rate,float64,median=0.0000,150,0,numeric
feat_ctgov_asset_maturity_score,feature,feat_ctgov_asset_maturity_score,float64,median=1.5000,7,0,numeric
feat_ctgov_n_late_stage_trials_sponsor,feature,feat_ctgov_n_late_stage_trials_sponsor,float64,median=11.0000,47,0,numeric
feat_ctgov_pipeline_maturity_score,feature,feat_ctgov_pipeline_maturity_score,float64,median=2.0166,47,0,numeric
feat_days_to_primary_completion,feature,feat_days_to_primary_completion,float64,median=-5.0000,173,0,numeric
feat_design_quality_score,feature,feat_design_quality_score,float64,median=3.0000,47,0,numeric
feat_enrollment_log,feature,feat_enrollment_log,float64,median=5.2575,47,0,numeric
feat_lead_asset_dependency_score,feature,feat_lead_asset_dependency_score,float64,none,0,0,numeric
feat_log_market_cap,feature,feat_log_market_cap,float64,none,0,0,numeric
feat_n_trials_for_company,feature,feat_n_trials_for_company,int64,none,0,0,numeric
feat_n_unique_drugs_for_company,feature,feat_n_unique_drugs_for_company,int64,none,0,0,numeric
feat_phase_num,feature,feat_phase_num,float64,median=2.0000,54,0,numeric
feat_pipeline_depth_score,feature,feat_pipeline_depth_score,float64,none,0,0,numeric
feat_pivotal_proxy_score,feature,feat_pivotal_proxy_score,float64,none,0,0,numeric
feat_regulatory_stage_score,feature,feat_regulatory_stage_score,int64,none,0,0,numeric
feat_time_since_last_asset_event,feature,feat_time_since_last_asset_event,float64,median=244.0000,469,0,numeric
feat_time_since_last_company_event,feature,feat_time_since_last_company_event,float64,median=127.0000,153,0,numeric
