column_name,role,source_feature,dtype,imputation_used,missing_before,missing_after,note
ticker,metadata,ticker,object,none,0,0,other
event_date,metadata,event_date,object,none,0,0,other
drug_name,metadata,drug_name,object,none,0,0,other
nct_id,metadata,nct_id,object,none,0,1,other
target_large_move,target,target_large_move,int64,none,0,0,other
feat_asset_event_sequence_num,feature,feat_asset_event_sequence_num,int64,none,0,0,numeric
feat_asset_trial_share,feature,feat_asset_trial_share,float64,median=0.0000,2049,0,numeric
feat_cash_runway_proxy,feature,feat_cash_runway_proxy,float64,median=0.1095,1345,0,numeric
feat_company_event_sequence_num,feature,feat_company_event_sequence_num,int64,none,0,0,numeric
feat_days_to_primary_completion,feature,feat_days_to_primary_completion,float64,median=0.0000,29,0,numeric
feat_pipeline_depth_score,feature,feat_pipeline_depth_score,float64,none,0,0,numeric
feat_pivotal_proxy_score,feature,feat_pivotal_proxy_score,float64,median=0.0000,2049,0,numeric
feat_time_since_last_asset_event,feature,feat_time_since_last_asset_event,float64,median=155.0000,1381,0,numeric
feat_time_since_last_company_event,feature,feat_time_since_last_company_event,float64,median=24.0000,296,0,numeric
feat_active_not_recruiting_flag,feature,feat_active_not_recruiting_flag,float64,0 (absent),1,0,binary flag
feat_blinded_flag,feature,feat_blinded_flag,int64,none,0,0,binary flag
feat_cns_flag,feature,feat_cns_flag,int64,none,0,0,binary flag
feat_completed_flag,feature,feat_completed_flag,float64,0 (absent),1,0,binary flag
feat_oncology_flag,feature,feat_oncology_flag,int64,none,0,0,binary flag
feat_open_label_flag,feature,feat_open_label_flag,int64,none,0,0,binary flag
feat_primary_completion_imminent_30d,feature,feat_primary_completion_imminent_30d,float64,0 (absent),29,0,binary flag
feat_primary_completion_imminent_90d,feature,feat_primary_completion_imminent_90d,float64,0 (absent),29,0,binary flag
feat_rare_disease_flag,feature,feat_rare_disease_flag,int64,none,0,0,binary flag
feat_recent_asset_event_flag,feature,feat_recent_asset_event_flag,float64,none,0,0,binary flag
feat_recent_company_event_flag,feature,feat_recent_company_event_flag,float64,none,0,0,binary flag
feat_recent_completion_flag,feature,feat_recent_completion_flag,float64,0 (absent),3,0,binary flag
feat_small_trial_flag,feature,feat_small_trial_flag,float64,0 (absent),3,0,binary flag
feat_therapeutic_superclass_CNS,feature,feat_therapeutic_superclass,int64,none,0,0,one-hot encoded
feat_therapeutic_superclass_Cardiovascular,feature,feat_therapeutic_superclass,int64,none,0,0,one-hot encoded
feat_therapeutic_superclass_Dermatology,feature,feat_therapeutic_superclass,int64,none,0,0,one-hot encoded
feat_therapeutic_superclass_Endocrine/Metabolic,feature,feat_therapeutic_superclass,int64,none,0,0,one-hot encoded
feat_therapeutic_superclass_GI/Hepatology,feature,feat_therapeutic_superclass,int64,none,0,0,one-hot encoded
feat_therapeutic_superclass_Immunology,feature,feat_therapeutic_superclass,int64,none,0,0,one-hot encoded
feat_therapeutic_superclass_Infectious Disease,feature,feat_therapeutic_superclass,int64,none,0,0,one-hot encoded
feat_therapeutic_superclass_Musculoskeletal,feature,feat_therapeutic_superclass,int64,none,0,0,one-hot encoded
feat_therapeutic_superclass_Oncology,feature,feat_therapeutic_superclass,int64,none,0,0,one-hot encoded
feat_therapeutic_superclass_Respiratory,feature,feat_therapeutic_superclass,int64,none,0,0,one-hot encoded
feat_completion_recency_bucket_far_180_plus,feature,feat_completion_recency_bucket,int64,none,0,0,one-hot encoded
feat_completion_recency_bucket_imminent_0_30,feature,feat_completion_recency_bucket,int64,none,0,0,one-hot encoded
feat_completion_recency_bucket_medium_91_180,feature,feat_completion_recency_bucket,int64,none,0,0,one-hot encoded
feat_completion_recency_bucket_near1_90,feature,feat_completion_recency_bucket,int64,none,0,0,one-hot encoded
feat_completion_recency_bucket_past,feature,feat_completion_recency_bucket,int64,none,0,0,one-hot encoded
feat_completion_recency_bucket_unknown,feature,feat_completion_recency_bucket,int64,none,0,0,one-hot encoded
split,split,split,object,none,0,0,other
