ticker,event_date,drug_name,nct_id,target_large_move,feat_asset_event_sequence_num,feat_asset_trial_share,feat_cash_runway_proxy,feat_company_event_sequence_num,feat_days_to_primary_completion,feat_pipeline_depth_score,feat_pivotal_proxy_score,feat_time_since_last_asset_event,feat_time_since_last_company_event,feat_active_not_recruiting_flag,feat_blinded_flag,feat_cns_flag,feat_completed_flag,feat_oncology_flag,feat_open_label_flag,feat_primary_completion_imminent_30d,feat_primary_completion_imminent_90d,feat_rare_disease_flag,feat_recent_asset_event_flag,feat_recent_company_event_flag,feat_recent_completion_flag,feat_small_trial_flag,feat_therapeutic_superclass_CNS,feat_therapeutic_superclass_Cardiovascular,feat_therapeutic_superclass_Dermatology,feat_therapeutic_superclass_Endocrine/Metabolic,feat_therapeutic_superclass_GI/Hepatology,feat_therapeutic_superclass_Immunology,feat_therapeutic_superclass_Infectious Disease,feat_therapeutic_superclass_Musculoskeletal,feat_therapeutic_superclass_Oncology,feat_therapeutic_superclass_Respiratory,feat_completion_recency_bucket_far_180_plus,feat_completion_recency_bucket_imminent_0_30,feat_completion_recency_bucket_medium_91_180,feat_completion_recency_bucket_near1_90,feat_completion_recency_bucket_past,feat_completion_recency_bucket_unknown,split
VERA,2023-01-04,atacicept,NCT04716231,1,1,0.0,0.1718,2,863.0,0.2773,0.0,249.0,327.0,1.0,1,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,train
MDGL,2023-01-06,Resmetirom,NCT04197479,0,1,0.0,0.1003,2,0.0,0.2773,0.0,249.0,1899.0,0.0,0,0,1.0,0,0,1.0,1.0,0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,train
ATAI,2023-01-06,PCN-101,NCT05414422,1,1,0.0,0.0869,1,-57.0,0.2773,0.0,249.0,120.5,0.0,1,1,1.0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,train
SOPH,2023-01-10,margetuximab,NCT02492711,0,1,0.0,0.2673,3,-517.0,0.2773,0.0,249.0,216.0,0.0,0,0,1.0,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,train
ORMP,2023-01-12,ORMD-0801,NCT06731075,1,2,0.0,0.9897,7,1565.0,0.2773,0.0,218.0,194.0,0.0,1,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,train
MRK,2023-01-18,Pembrolizumab,NCT03820986,0,32,0.0,0.0476,111,0.0,0.2773,0.0,107.0,26.0,0.0,0,0,1.0,1,0,1.0,1.0,0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
SNY,2023-01-19,CYD Dengue Vaccine,NCT02741128,0,2,0.0,0.0653,60,0.0,0.2773,0.0,995.0,22.0,0.0,0,0,1.0,0,0,1.0,1.0,0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,train
GLPG,2023-01-19,Filgotinib,NCT02065700,0,3,0.0,1.3516,8,0.0,0.2773,0.0,69.0,69.0,0.0,0,0,1.0,0,1,1.0,1.0,0,1.0,1.0,1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,train
PLRX,2023-01-24,bexotegrast,NCT06097260,0,1,0.0,3.0263,2,801.0,0.2773,0.0,249.0,211.0,0.0,1,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,train
EQ,2023-01-30,EQU-001,NCT05473442,0,1,0.0,0.2987,2,152.0,0.2773,0.0,249.0,70.0,0.0,0,1,0.0,0,0,0.0,0.0,0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,train
